Nome,Serie,Turma,Matematica,Portugues,Historia,Geografia,Fisica,Quimica,Biologia,Media
Tatiana Gomes Rezende,3º Ano,A,9.0,8.5,9.0,8.5,8.5,9.0,8.5,8.7
Vitor Hugo Camargo,3º Ano,B,6.5,6.0,6.5,6.0,6.0,6.5,6.0,6.2
Alice Ramos Verissimo,3º Ano,C,8.0,8.0,8.5,8.0,7.5,8.0,8.0,8.0
Bernardo Lima Esteves,1º Ano,A,5.5,6.0,5.5,6.0,5.0,5.5,6.0,5.6
Clara Souza Marinho,1º Ano,B,7.5,7.0,7.5,7.0,7.0,7.5,7.0,7.2
Davi Lucca Bezerra,2º Ano,A,6.0,6.5,6.0,6.5,5.5,6.0,6.5,6.1
Emanuelle Pinto Galvao,2º Ano,B,8.5,9.0,8.5,9.0,8.0,8.5,9.0,8.6
Fabio Junior Sena,3º Ano,A,5.0,4.5,5.0,5.5,4.5,5.0,5.5,5.0
Giovanna Castro Aragao,3º Ano,B,9.5,9.0,9.5,9.0,9.0,9.5,9.0,9.2
Heitor Nascimento Vidal,3º Ano,C,6.5,7.0,6.5,7.0,6.0,6.5,7.0,6.6
Lay Montenegro,3º Ano,C,6.5,7.0,6.5,7.0,6.0,6.5,7.0,6.6
Antonio da Silva,3º Ano,C,8.0,8.0,8.5,8.0,7.5,8.0,8.0,8.0
